/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/A.wav,"﻿अधनस्य कुतो मित्रम्, अमित्रस्य कुतः सुखम् "
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/B.wav,﻿अयं निजः परो वेति गणना लघु चेतसाम्
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/C.wav,"﻿अलसस्य कुतो विद्या, अविद्यस्य कुतो धनम् "
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/D.wav,﻿अष्टादश पुराणेषु व्यासस्य वचनद्वयम्
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/E.wav,﻿आलस्यं हि मनुष्याणां शरीरस्थो महान् रिपुः
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/F.wav,﻿उदारचरितानां तु वसुधैव कुटुम्बकम् 
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/G.wav,﻿एवं परुषकारेण विना दैवं न सिद्ध्यति
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/H.wav,"﻿चन्दनं शीतलं लोके,चन्दनादपि चन्द्रमाः"
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/I.wav,﻿निद्रा तद्रा भयं क्रोधः आलस्यं दीर्घसूत्रता
/media/saurabh/New Volume2/hindi_char/sanskrit/data_backup/working/J.wav,﻿यथा ह्येकेन चक्रेण न रथस्य गतिर्भवेत् 
